depart_code;arrival_code;scheduled_hour;scheduled_arrival_hour;arrival_next_day;distance_km;Mon;Tue;Wed;Thu;Fri;Sat;Sun
NEAW;HUB1;3;11;0;6756;1;0;1;1;0;1;1
HUB1;LXIM;23;1;1;1070;1;1;1;1;1;1;1
LXIM;HUB1;2;4;0;1070;1;1;1;1;1;1;1
HUB1;DQYT;15;19;0;2565;0;0;0;0;1;0;0
DQYT;HUB1;21;1;1;2565;0;0;0;0;1;0;0
HUB1;ULPW;9;15;0;5065;1;0;1;1;0;1;1
ULPW;HUB1;17;23;0;5065;1;0;1;1;0;1;1
HUB1;UAJN;18;22;0;2921;1;0;1;1;0;1;1
UAJN;HUB1;23;3;1;2921;1;0;1;1;0;1;1
HUB1;YKHO;0;6;0;4899;0;1;0;0;1;1;0
YKHO;HUB1;8;14;0;4899;0;1;0;0;1;1;0
HUB1;HERA;12;13;0;829;0;1;0;0;1;0;0
HERA;HUB1;15;16;0;829;0;1;0;0;1;0;0
HUB1;EBYM;9;13;0;3035;1;1;1;1;1;1;1
EBYM;HUB1;14;18;0;3035;1;1;1;1;1;1;1
HUB1;RREQ;7;14;0;5585;1;0;1;1;0;1;1
RREQ;HUB1;15;22;0;5585;1;0;1;1;0;1;1
HUB1;XOXZ;23;5;1;4532;0;1;0;1;1;0;1
XOXZ;HUB1;7;13;0;4532;0;1;0;1;1;0;1
HUB1;VIHK;8;13;0;3914;0;1;0;0;1;0;0
VIHK;HUB1;15;20;0;3914;0;1;0;0;1;0;0
HUB1;CZQD;21;1;1;3360;0;0;0;0;1;0;0
CZQD;HUB1;2;6;0;3360;0;0;0;0;1;0;0
HUB1;HUDY;5;12;0;5426;0;0;0;0;1;0;0
HUDY;HUB1;13;20;0;5426;0;0;0;0;1;0;0
HUB1;ZACS;18;0;1;4793;1;0;1;1;0;1;1
ZACS;HUB1;1;7;0;4793;1;0;1;1;0;1;1
HUB1;DSKH;23;4;1;3424;1;1;1;1;1;1;1
